task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
14	dd/a91937	22379902	OCEANGENOMES_REFGENOMES:REFGENOMES:MITOHIFI_FINDMITOREFERENCE (Siphamia cephalotes)	CACHED	0	2025-03-18 15:08:44.097	1m 59s	48s	5.0%	45.1 MB	1.1 GB	25.7 MB	113.1 KB
2	bf/7abdd8	22379905	OCEANGENOMES_REFGENOMES:REFGENOMES:MITOHIFI_FINDMITOREFERENCE (Heteroclinus roseus)	CACHED	0	2025-03-18 15:08:44.368	1m 59s	46.3s	7.6%	80.4 MB	1.4 GB	25.9 MB	115.2 KB
6	dd/9a4c60	22379900	OCEANGENOMES_REFGENOMES:REFGENOMES:MITOHIFI_FINDMITOREFERENCE (Paracanthurus hepatus)	CACHED	0	2025-03-18 15:08:43.847	1m 59s	33.8s	7.5%	41.4 MB	1.1 GB	25.6 MB	119.2 KB
4	9c/6a29c4	22379904	OCEANGENOMES_REFGENOMES:REFGENOMES:MITOHIFI_FINDMITOREFERENCE (Stigmatopora argus)	CACHED	0	2025-03-18 15:08:44.279	1m 59s	29.7s	8.4%	41.2 MB	1.1 GB	25.7 MB	115.2 KB
9	ef/06da71	22379903	OCEANGENOMES_REFGENOMES:REFGENOMES:MITOHIFI_FINDMITOREFERENCE (Abudefduf sexfasciatus)	CACHED	0	2025-03-18 15:08:44.182	1m 59s	34.2s	10.1%	41.4 MB	1.1 GB	25.6 MB	111.1 KB
13	f6/6ecaa0	22379910	OCEANGENOMES_REFGENOMES:REFGENOMES:MITOHIFI_FINDMITOREFERENCE (Ctenochaetus striatus)	CACHED	0	2025-03-18 15:08:44.815	1m 58s	34s	8.0%	41.2 MB	1.1 GB	25.5 MB	112.4 KB
12	41/cf0b5a	22380046	OCEANGENOMES_REFGENOMES:REFGENOMES:MITOHIFI_FINDMITOREFERENCE (Alabes)	COMPLETED	0	2025-03-18 15:11:17.286	58.4s	27.7s	9.0%	50.2 MB	1.2 GB	25.7 MB	122.8 KB
1	76/e91d18	22380047	OCEANGENOMES_REFGENOMES:REFGENOMES:HIFIADAPTERFILT (OG62_v250307.hifi1)	COMPLETED	0	2025-03-18 15:11:17.381	17m 58s	16m 49s	140.4%	16.5 MB	26.3 MB	166.5 GB	150.1 GB
15	3e/cb329b	22380869	OCEANGENOMES_REFGENOMES:REFGENOMES:FASTQC_HIFI (OG62_v250307.hifi1)	COMPLETED	0	2025-03-18 15:29:15.758	7m	6m 20s	100.3%	1.5 GB	7.1 GB	4.9 GB	1.9 MB
10	9d/2ca5c4	22380048	OCEANGENOMES_REFGENOMES:REFGENOMES:HIFIADAPTERFILT (OG794_v250307.hifi1)	COMPLETED	0	2025-03-18 15:11:17.472	27m 58s	27m 6s	138.8%	16.7 MB	26.5 MB	271.6 GB	244.6 GB
3	04/b9e199	22380052	OCEANGENOMES_REFGENOMES:REFGENOMES:HIFIADAPTERFILT (OG64_v250307.hifi1)	COMPLETED	0	2025-03-18 15:11:17.762	30m 58s	30m 26s	146.6%	16.2 MB	26.3 MB	260 GB	233.7 GB
22	84/85c0ba	22381244	OCEANGENOMES_REFGENOMES:REFGENOMES:FASTQC_HIFI (OG794_v250307.hifi1)	COMPLETED	0	2025-03-18 15:39:34.630	13m 41s	12m 1s	100.2%	1.7 GB	7.1 GB	8.7 GB	2 MB
25	22/44f5bb	22381349	OCEANGENOMES_REFGENOMES:REFGENOMES:FASTQC_HIFI (OG64_v250307.hifi1)	COMPLETED	0	2025-03-18 15:42:16.032	13m	12m 13s	99.5%	1.5 GB	7.1 GB	8.1 GB	1.8 MB
11	94/c2a352	22380044	OCEANGENOMES_REFGENOMES:REFGENOMES:HIFIADAPTERFILT (OG73_v250307.hifi1)	COMPLETED	0	2025-03-18 15:11:17.106	44m 59s	44m 19s	135.8%	16.4 MB	26.3 MB	427.7 GB	384.7 GB
8	e1/19da23	22380050	OCEANGENOMES_REFGENOMES:REFGENOMES:HIFIADAPTERFILT (OG70_v250307.hifi1)	COMPLETED	0	2025-03-18 15:11:17.570	45m 58s	45m 29s	138.1%	16.5 MB	26.3 MB	461.6 GB	414.7 GB
16	dd/f7b9d9	22380871	OCEANGENOMES_REFGENOMES:REFGENOMES:FQ_GZ_TO_FA (OG62_v250307.hifi1)	COMPLETED	0	2025-03-18 15:29:15.929	34m	3m 49s	33.5%	6.6 MB	19.3 MB	44.6 GB	33.5 GB
21	9f/486125	22381241	OCEANGENOMES_REFGENOMES:REFGENOMES:FQ_GZ_TO_FA (OG794_v250307.hifi1)	COMPLETED	0	2025-03-18 15:39:32.725	28m 43s	6m 40s	31.7%	6.7 MB	19.3 MB	72.5 GB	54.4 GB
