OG,asm_ver,check,status,detail
OG90,v240821.hic1,meryl_tar,OK,pawsey0964:oceanomics-refassemblies/OG90/meryl/OG90_v240821.hic1.meryldb.tar.gz
OG90,v240821.hic1,assembly:OG90_v240821.hic1.0.hifiasm.hap1.fasta,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/assembly/OG90_v240821.hic1.0.hifiasm.hap1.fasta
OG90,v240821.hic1,assembly:OG90_v240821.hic1.0.hifiasm.hap2.fasta,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/assembly/OG90_v240821.hic1.0.hifiasm.hap2.fasta
OG90,v240821.hic1,assembly:OG90_v240821.hic1.hic.hap1.p_ctg.gfa,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/assembly/OG90_v240821.hic1.hic.hap1.p_ctg.gfa
OG90,v240821.hic1,assembly:OG90_v240821.hic1.hic.hap2.p_ctg.gfa,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/assembly/OG90_v240821.hic1.hic.hap2.p_ctg.gfa
OG90,v240821.hic1,assembly:OG90_v240821.hic1.1.yahs.hap1_scaffolds_final.fa,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/assembly/OG90_v240821.hic1.1.yahs.hap1_scaffolds_final.fa
OG90,v240821.hic1,assembly:OG90_v240821.hic1.1.yahs.hap2_scaffolds_final.fa,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/assembly/OG90_v240821.hic1.1.yahs.hap2_scaffolds_final.fa
OG90,v240821.hic1,gfastats:OG90_v240821.hic1.0.hifiasm.hap1.assembly_summary.txt,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/gfastats/OG90_v240821.hic1.0.hifiasm.hap1.assembly_summary.txt
OG90,v240821.hic1,gfastats:OG90_v240821.hic1.0.hifiasm.hap2.assembly_summary.txt,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/gfastats/OG90_v240821.hic1.0.hifiasm.hap2.assembly_summary.txt
OG90,v240821.hic1,merqury_dir,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/merqury
OG90,v240821.hic1,busco_dir,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/busco
OG90,v240821.hic1,bam:OG90_v240821.hic1.hap1.mapped.contigs.bam,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/bam/OG90_v240821.hic1.hap1.mapped.contigs.bam
OG90,v240821.hic1,bam:OG90_v240821.hic1.hap1.mapped.contigs.bam.bai,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/bam/OG90_v240821.hic1.hap1.mapped.contigs.bam.bai
OG90,v240821.hic1,bam:OG90_v240821.hic1.hap2.mapped.contigs.bam,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/bam/OG90_v240821.hic1.hap2.mapped.contigs.bam
OG90,v240821.hic1,bam:OG90_v240821.hic1.hap2.mapped.contigs.bam.bai,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/bam/OG90_v240821.hic1.hap2.mapped.contigs.bam.bai
OG90,v240821.hic1,bam:OG90_v240821.hic1.dual.mapped.PT.bam,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/bam/OG90_v240821.hic1.dual.mapped.PT.bam
OG90,v240821.hic1,bam:OG90_v240821.hic1.dual.mapped.PT.bam.bai,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/bam/OG90_v240821.hic1.dual.mapped.PT.bam.bai
OG90,v240821.hic1,bam:OG90_v240821.hic1.dual.stats.txt,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/bam/OG90_v240821.hic1.dual.stats.txt
OG90,v240821.hic1,bam:OG90_v240821.hic1.hap1.mapped.PT.bam,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/bam/OG90_v240821.hic1.hap1.mapped.PT.bam
OG90,v240821.hic1,bam:OG90_v240821.hic1.hap1.mapped.PT.bam.bai,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/bam/OG90_v240821.hic1.hap1.mapped.PT.bam.bai
OG90,v240821.hic1,bam:OG90_v240821.hic1.hic1.hap1.stats.txt,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/bam/OG90_v240821.hic1.hic1.hap1.stats.txt
OG90,v240821.hic1,bam:OG90_v240821.hic1.hap2.mapped.PT.bam,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/bam/OG90_v240821.hic1.hap2.mapped.PT.bam
OG90,v240821.hic1,bam:OG90_v240821.hic1.hap2.mapped.PT.bam.bai,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/bam/OG90_v240821.hic1.hap2.mapped.PT.bam.bai
OG90,v240821.hic1,bam:OG90_v240821.hic1.hic1.hap2.stats.txt,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/bam/OG90_v240821.hic1.hic1.hap2.stats.txt
OG90,v240821.hic1,decontamination/NCBI_dir,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/decontamination/NCBI
OG90,v240821.hic1,decontamination/tiara_dir,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/decontamination/tiara
OG90,v240821.hic1,gfastats_dir,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/gfastats
OG90,v240821.hic1,final_fasta,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/assembly
OG90,v240821.hic1,bedgraph:OG90_v240821.hic1.dual.hap.gaps.bedgraph,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/bedgraph/OG90_v240821.hic1.dual.hap.gaps.bedgraph
OG90,v240821.hic1,bedgraph:OG90_v240821.hic1.dual.hap.bedgraph,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/bedgraph/OG90_v240821.hic1.dual.hap.bedgraph
OG90,v240821.hic1,bedgraph:OG90_v240821.hic1_sorted_telomeric_locations.bedgraph,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/bedgraph/OG90_v240821.hic1_sorted_telomeric_locations.bedgraph
OG90,v240821.hic1,pretext_png:OG90_v240821.hic1.2.tiara.dual.pretext_snapshotFullMap.png,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/pretext/OG90_v240821.hic1.2.tiara.dual.pretext_snapshotFullMap.png
OG90,v240821.hic1,pretext_png:OG90_v240821.hic1.2.tiara.hap1.pretext_snapshotFullMap.png,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/pretext/OG90_v240821.hic1.2.tiara.hap1.pretext_snapshotFullMap.png
OG90,v240821.hic1,pretext_png:OG90_v240821.hic1.2.tiara.hap2.pretext_snapshotFullMap.png,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/pretext/OG90_v240821.hic1.2.tiara.hap2.pretext_snapshotFullMap.png
OG90,v240821.hic1,pretext:OG90_v240821.hic1.2.tiara.dual-hi-res.pretext,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/pretext/OG90_v240821.hic1.2.tiara.dual-hi-res.pretext
OG90,v240821.hic1,pretext:OG90_v240821.hic1.2.tiara.hap2.pretext,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/pretext/OG90_v240821.hic1.2.tiara.hap2.pretext
OG90,v240821.hic1,pretext:OG90_v240821.hic1.2.tiara.hap1.pretext,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/pretext/OG90_v240821.hic1.2.tiara.hap1.pretext
OG90,v240821.hic1,chromsyn_pdf,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/chromsyn/OG90.hapsyn.pdf
OG90,v240821.hic1,multiqc_dir,OK,pawsey0964:oceanomics-refassemblies/OG90/OG90_v240821.hic1/multiqc
OG686,v241004.hic1,meryl_tar,OK,pawsey0964:oceanomics-refassemblies/OG686/meryl/OG686_v241004.hic1.meryldb.tar.gz
OG686,v241004.hic1,assembly:OG686_v241004.hic1.0.hifiasm.hap1.fasta,OK,pawsey0964:oceanomics-refassemblies/OG686/OG686_v241004.hic1/assembly/OG686_v241004.hic1.0.hifiasm.hap1.fasta
OG686,v241004.hic1,assembly:OG686_v241004.hic1.0.hifiasm.hap2.fasta,OK,pawsey0964:oceanomics-refassemblies/OG686/OG686_v241004.hic1/assembly/OG686_v241004.hic1.0.hifiasm.hap2.fasta
OG686,v241004.hic1,assembly:OG686_v241004.hic1.hic.hap1.p_ctg.gfa,OK,pawsey0964:oceanomics-refassemblies/OG686/OG686_v241004.hic1/assembly/OG686_v241004.hic1.hic.hap1.p_ctg.gfa
OG686,v241004.hic1,assembly:OG686_v241004.hic1.hic.hap2.p_ctg.gfa,OK,pawsey0964:oceanomics-refassemblies/OG686/OG686_v241004.hic1/assembly/OG686_v241004.hic1.hic.hap2.p_ctg.gfa
OG686,v241004.hic1,assembly:OG686_v241004.hic1.1.yahs.hap1_scaffolds_final.fa,OK,pawsey0964:oceanomics-refassemblies/OG686/OG686_v241004.hic1/assembly/OG686_v241004.hic1.1.yahs.hap1_scaffolds_final.fa
OG686,v241004.hic1,assembly:OG686_v241004.hic1.1.yahs.hap2_scaffolds_final.fa,OK,pawsey0964:oceanomics-refassemblies/OG686/OG686_v241004.hic1/assembly/OG686_v241004.hic1.1.yahs.hap2_scaffolds_final.fa
OG686,v241004.hic1,gfastats:OG686_v241004.hic1.0.hifiasm.hap1.assembly_summary.txt,OK,pawsey0964:oceanomics-refassemblies/OG686/OG686_v241004.hic1/gfastats/OG686_v241004.hic1.0.hifiasm.hap1.assembly_summary.txt
OG686,v241004.hic1,gfastats:OG686_v241004.hic1.0.hifiasm.hap2.assembly_summary.txt,OK,pawsey0964:oceanomics-refassemblies/OG686/OG686_v241004.hic1/gfastats/OG686_v241004.hic1.0.hifiasm.hap2.assembly_summary.txt
OG686,v241004.hic1,merqury_dir,OK,pawsey0964:oceanomics-refassemblies/OG686/OG686_v241004.hic1/merqury
OG686,v241004.hic1,busco_dir,OK,pawsey0964:oceanomics-refassemblies/OG686/OG686_v241004.hic1/busco
OG686,v241004.hic1,bam:OG686_v241004.hic1.hap1.mapped.contigs.bam,OK,pawsey0964:oceanomics-refassemblies/OG686/OG686_v241004.hic1/bam/OG686_v241004.hic1.hap1.mapped.contigs.bam
OG686,v241004.hic1,bam:OG686_v241004.hic1.hap1.mapped.contigs.bam.bai,OK,pawsey0964:oceanomics-refassemblies/OG686/OG686_v241004.hic1/bam/OG686_v241004.hic1.hap1.mapped.contigs.bam.bai
OG686,v241004.hic1,bam:OG686_v241004.hic1.hap2.mapped.contigs.bam,OK,pawsey0964:oceanomics-refassemblies/OG686/OG686_v241004.hic1/bam/OG686_v241004.hic1.hap2.mapped.contigs.bam
OG686,v241004.hic1,bam:OG686_v241004.hic1.hap2.mapped.contigs.bam.bai,OK,pawsey0964:oceanomics-refassemblies/OG686/OG686_v241004.hic1/bam/OG686_v241004.hic1.hap2.mapped.contigs.bam.bai
OG686,v241004.hic1,bam:OG686_v241004.hic1.dual.mapped.PT.bam,OK,pawsey0964:oceanomics-refassemblies/OG686/OG686_v241004.hic1/bam/OG686_v241004.hic1.dual.mapped.PT.bam
OG686,v241004.hic1,bam:OG686_v241004.hic1.dual.mapped.PT.bam.bai,OK,pawsey0964:oceanomics-refassemblies/OG686/OG686_v241004.hic1/bam/OG686_v241004.hic1.dual.mapped.PT.bam.bai
OG686,v241004.hic1,bam:OG686_v241004.hic1.dual.stats.txt,OK,pawsey0964:oceanomics-refassemblies/OG686/OG686_v241004.hic1/bam/OG686_v241004.hic1.dual.stats.txt
OG686,v241004.hic1,bam:OG686_v241004.hic1.hap1.mapped.PT.bam,OK,pawsey0964:oceanomics-refassemblies/OG686/OG686_v241004.hic1/bam/OG686_v241004.hic1.hap1.mapped.PT.bam
