filename	num_contigs	contig_n50	contig_n50_size_mb	num_scaffolds	scaffold_n50	scaffold_n50_size_mb	largest_scaffold	largest_scaffold_size_mb	total_scaffold_length	total_scaffold_length_size_mb	gc_content_percent
OG1369_v260227.hic1.0.hifiasm.a_ctg.assembly_summary.txt	942	2094496	2.0945	942	2094496	2.0945	14553420	14.5534	582676756	582.677	42.82
OG1369_v260227.hic1.0.hifiasm.p_ctg.assembly_summary.txt	82	22050817	22.0508	82	22050817	22.0508	30298717	30.2987	579023312	579.023	42.82
OG1422_v260227.hic1.0.hifiasm.a_ctg.assembly_summary.txt	890	2768795	2.76879	890	2768795	2.76879	12277568	12.2776	576678310	576.678	42.58
OG1422_v260227.hic1.0.hifiasm.p_ctg.assembly_summary.txt	80	23680828	23.6808	80	23680828	23.6808	30152010	30.152	579587313	579.587	42.50
OG1454_v260227.hic1.0.hifiasm.p_ctg.assembly_summary.txt	1457	2028390	2.02839	1457	2028390	2.02839	10409906	10.4099	823216164	823.216	44.26
OG1454_v260227.hic1.0.hifiasm.a_ctg.assembly_summary.txt	4414	385744	0.385744	4414	385744	0.385744	6242109	6.24211	635095930	635.096	44.32
OG1455_v260331.hic1.0.hifiasm.p_ctg.assembly_summary.txt	220	24804740	24.8047	220	24804740	24.8047	43716326	43.7163	610478246	610.478	43.32
OG1455_v260331.hic1.0.hifiasm.a_ctg.assembly_summary.txt	1223	5141171	5.14117	1223	5141171	5.14117	15539439	15.5394	607024909	607.025	42.99
OG1560_v260408.hic1.0.hifiasm.a_ctg.assembly_summary.txt	2060	2205028	2.20503	2060	2205028	2.20503	11449844	11.4498	659181147	659.181	41.28
OG1560_v260408.hic1.0.hifiasm.p_ctg.assembly_summary.txt	350	28621945	28.6219	350	28621945	28.6219	44269768	44.2698	665664421	665.664	41.32
OG2088_v260414.hic1.0.hifiasm.a_ctg.assembly_summary.txt	2806	3155975	3.15598	2806	3155975	3.15598	24083035	24.083	1107600832	1107.6	44.15
OG2088_v260414.hic1.0.hifiasm.p_ctg.assembly_summary.txt	535	56885114	56.8851	535	56885114	56.8851	94393204	94.3932	1241842475	1241.84	44.31
OG2089_v260227.hic1.0.hifiasm.p_ctg.assembly_summary.txt	11242	530932	0.530932	11242	530932	0.530932	9763042	9.76304	2095886476	2095.89	42.99
OG2089_v260227.hic1.0.hifiasm.a_ctg.assembly_summary.txt	25778	85277	0.085277	25778	85277	0.085277	843862	0.843862	1365390551	1365.39	43.03
OG2090_v260303.hic1.0.hifiasm.p_ctg.assembly_summary.txt	1177	3854943	3.85494	1177	3854943	3.85494	18882234	18.8822	1464541402	1464.54	40.78
OG2090_v260303.hic1.0.hifiasm.a_ctg.assembly_summary.txt	7828	681315	0.681315	7828	681315	0.681315	6006640	6.00664	1260163101	1260.16	41.84
OG2093_v260227.hic1.0.hifiasm.a_ctg.assembly_summary.txt	7392	505558	0.505558	7392	505558	0.505558	6875887	6.87589	1237854860	1237.85	42.40
OG2093_v260227.hic1.0.hifiasm.p_ctg.assembly_summary.txt	3733	3068689	3.06869	3733	3068689	3.06869	37412825	37.4128	1501549749	1501.55	42.95
OG2100_v260227.hic1.0.hifiasm.a_ctg.assembly_summary.txt	6286	210141	0.210141	6286	210141	0.210141	2757499	2.7575	677999106	677.999	45.64
OG2100_v260227.hic1.0.hifiasm.p_ctg.assembly_summary.txt	7371	361672	0.361672	7371	361672	0.361672	8087154	8.08715	1095989964	1095.99	46.10
OG2102_v260227.hic1.0.hifiasm.a_ctg.assembly_summary.txt	47454	25750	0.02575	47454	25750	0.02575	116157	0.116157	969314352	969.314	42.39
OG2102_v260227.hic1.0.hifiasm.p_ctg.assembly_summary.txt	30384	94826	0.094826	30384	94826	0.094826	745387	0.745387	2069752493	2069.75	42.50
OG2104_v260414.hic1.0.hifiasm.a_ctg.assembly_summary.txt	12633	42784	0.042784	12633	42784	0.042784	1267346	1.26735	528870619	528.871	44.05
OG2104_v260414.hic1.0.hifiasm.p_ctg.assembly_summary.txt	3673	804166	0.804166	3673	804166	0.804166	4821030	4.82103	761024537	761.025	44.81
OG2119_v260408.hic1.0.hifiasm.a_ctg.assembly_summary.txt	3539	2885575	2.88557	3539	2885575	2.88557	16085382	16.0854	1716753851	1716.75	43.38
OG2119_v260408.hic1.0.hifiasm.p_ctg.assembly_summary.txt	372	38035855	38.0359	372	38035855	38.0359	100734752	100.735	1712501676	1712.5	43.44
OG2132_v260408.hic1.0.hifiasm.a_ctg.assembly_summary.txt	15295	428280	0.42828	15295	428280	0.42828	8252605	8.25261	1053064913	1053.06	41.29
OG2132_v260408.hic1.0.hifiasm.p_ctg.assembly_summary.txt	547	26166967	26.167	547	26166967	26.167	40385284	40.3853	876205877	876.206	41.57
OG2146_v260414.hic1.0.hifiasm.p_ctg.assembly_summary.txt	318	42954813	42.9548	318	42954813	42.9548	53347693	53.3477	1098141606	1098.14	40.63
OG2146_v260414.hic1.0.hifiasm.a_ctg.assembly_summary.txt	8620	2081449	2.08145	8620	2081449	2.08145	30879548	30.8795	1238794697	1238.79	40.51
OG2156_v260408.hic1.0.hifiasm.p_ctg.assembly_summary.txt	238	29092082	29.0921	238	29092082	29.0921	33698773	33.6988	733208283	733.208	42.40
OG2156_v260408.hic1.0.hifiasm.a_ctg.assembly_summary.txt	2467	15991574	15.9916	2467	15991574	15.9916	30616369	30.6164	762660681	762.661	42.41
OG2189_v260414.hic1.0.hifiasm.a_ctg.assembly_summary.txt	2118	6081382	6.08138	2118	6081382	6.08138	23669024	23.669	846724764	846.725	41.72
OG2189_v260414.hic1.0.hifiasm.p_ctg.assembly_summary.txt	99	34129301	34.1293	99	34129301	34.1293	88107924	88.1079	817550063	817.55	41.78
OG2317_v260303.hic1.0.hifiasm.a_ctg.assembly_summary.txt	8729	1260002	1.26	8729	1260002	1.26	7843952	7.84395	2979669608	2979.67	44.09
OG2317_v260303.hic1.0.hifiasm.p_ctg.assembly_summary.txt	2362	5943955	5.94395	2362	5943955	5.94395	35516842	35.5168	3291798918	3291.8	44.88
OG2320_v260303.hic1.0.hifiasm.a_ctg.assembly_summary.txt	8859	411451	0.411451	8859	411451	0.411451	3718571	3.71857	1230094223	1230.09	41.40
OG2320_v260303.hic1.0.hifiasm.p_ctg.assembly_summary.txt	141	46197148	46.1971	141	46197148	46.1971	54318909	54.3189	1149787426	1149.79	41.33
OG804_v260227.hic1.0.hifiasm.a_ctg.assembly_summary.txt	2944	868239	0.868239	2944	868239	0.868239	7073208	7.07321	734535654	734.536	40.33
OG804_v260227.hic1.0.hifiasm.p_ctg.assembly_summary.txt	1071	5459377	5.45938	1071	5459377	5.45938	25652582	25.6526	1140986845	1140.99	40.20
