filename	num_contigs	contig_n50	contig_n50_size_mb	num_scaffolds	scaffold_n50	scaffold_n50_size_mb	largest_scaffold	largest_scaffold_size_mb	total_scaffold_length	total_scaffold_length_size_mb	gc_content_percent
OG1_v230525.hifi1.0.hifiasm.bp.hap1.p_ctg.assembly.summary.txt			0			0		0		0	40.41
OG1_v230525.hifi1.0.hifiasm.bp.hap2.p_ctg.assembly.summary.txt			0			0		0		0	40.37
OG2_v230413.hifi1.0.hifiasm.bp.hap1.p_ctg.assembly.summary.txt			0			0		0		0	39.88
OG2_v230413.hifi1.0.hifiasm.bp.hap2.p_ctg.assembly.summary.txt			0			0		0		0	39.87
OG3_v230825.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	1309	8249256	8.24926	1309	8249256	8.24926	32506338	32.5063	1007593062	1007.59	40.68
OG3_v230825.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	197	34482886	34.4829	197	34482886	34.4829	48715905	48.7159	1002630667	1002.63	40.74
OG5_v230628.hifi1.0.hifiasm.bp.hap1.p_ctg.assembly.summary.txt	15153	720038	0.720038	15153	720038	0.720038	8865568	8.86557	4379064180	4379.06	43.61
OG5_v230628.hifi1.0.hifiasm.bp.hap2.p_ctg.assembly.summary.txt	13082	634677	0.634677	13082	634677	0.634677	9552349	9.55235	4104952172	4104.95	43.54
OG6_v230628.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	1350	8978620	8.97862	1350	8978620	8.97862	31149103	31.1491	1057608295	1057.61	39.88
OG6_v230628.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	297	42924531	42.9245	297	42924531	42.9245	51851903	51.8519	1051680420	1051.68	39.93
OG7_v230915.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	1258	13877684	13.8777	1258	13877684	13.8777	40849154	40.8492	1110883430	1110.88	40.57
OG7_v230915.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	273	44231223	44.2312	273	44231223	44.2312	56170424	56.1704	1072938796	1072.94	40.57
OG8_v230512.hifi1.0.hifiasm.bp.hap1.p_ctg.assembly.summary.txt			0			0		0		0	40.62
OG8_v230512.hifi1.0.hifiasm.bp.hap2.p_ctg.assembly.summary.txt			0			0		0		0	40.60
OG9_v240206.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	2524	4536331	4.53633	2524	4536331	4.53633	19227367	19.2274	1049282204	1049.28	41.33
OG9_v240206.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	289	42125333	42.1253	289	42125333	42.1253	49946800	49.9468	1035485213	1035.49	41.35
OG10_v230209.hifi1.0.hifiasm.bp.hap1.p_ctg.assembly.summary.txt			0			0		0		0	40.59
OG10_v230209.hifi1.0.hifiasm.bp.hap2.p_ctg.assembly.summary.txt			0			0		0		0	40.64
OG11_v230825.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	894	8253097	8.2531	894	8253097	8.2531	34268472	34.2685	1080192929	1080.19	39.32
OG11_v230825.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	87	45422970	45.423	87	45422970	45.423	55202112	55.2021	1086946887	1086.95	39.33
OG12_v230512.hifi1.0.hifiasm.bp.hap1.p_ctg.assembly.summary.txt			0			0		0		0	39.74
OG12_v230512.hifi1.0.hifiasm.bp.hap2.p_ctg.assembly.summary.txt			0			0		0		0	39.73
OG13_v230223.hifi1.0.hifiasm.bp.hap1.p_ctg.assembly.summary.txt			0			0		0		0	40.17
OG13_v230223.hifi1.0.hifiasm.bp.hap2.p_ctg.assembly.summary.txt			0			0		0		0	40.17
OG14_v230223.hifi1.0.hifiasm.bp.hap1.p_ctg.assembly.summary.txt			0			0		0		0	40.59
OG14_v230223.hifi1.0.hifiasm.bp.hap2.p_ctg.assembly.summary.txt			0			0		0		0	40.59
OG15_v230413.hifi1.0.hifiasm.bp.hap1.p_ctg.assembly.summary.txt			0			0		0		0	39.84
OG15_v230413.hifi1.0.hifiasm.bp.hap2.p_ctg.assembly.summary.txt			0			0		0		0	39.81
OG16_v240427.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	1313	7411290	7.41129	1313	7411290	7.41129	26949379	26.9494	986846161	986.846	39.63
OG16_v240427.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	122	40897831	40.8978	122	40897831	40.8978	50177865	50.1779	978945555	978.946	39.60
OG27_v230512.hifi1.0.hifiasm.bp.hap1.p_ctg.assembly.summary.txt			0			0		0		0	44.88
OG27_v230512.hifi1.0.hifiasm.bp.hap2.p_ctg.assembly.summary.txt			0			0		0		0	44.82
OG35_v231027.hifi1.0.hifiasm.a_ctg.assembly.summary.txt	779	5068744	5.06874	779	5068744	5.06874	15560835	15.5608	641282016	641.282	45.60
OG35_v231027.hifi1.0.hifiasm.p_ctg.assembly.summary.txt	109	22698732	22.6987	109	22698732	22.6987	29970307	29.9703	643134226	643.134	45.58
